language_name,Spanish
---
MainMenuScreen:
main_menu_continue,Continuar
main_menu_load_game,Cargar Juego
main_menu_new_game,Nuevo Juego
main_menu_quit_game,Salir Juego
LoadScreen:
load_menu_name,Nombre
load_menu_badges,Medallas
load_menu_location,Localizacion
load_menu_time,Tiempo
load_menu_back,Atras
load_menu_load,Cargar
load_menu_delete,Borrar
DeleteScreen:
delete_menu_delete_confirm,Realmente quieres borrar la partida guardada?
delete_menu_delete,Borrar
delete_menu_cancel,Cancelar
LanguageScreen:
language_menu_apply,Aplicar
language_menu_back,Atras
PacksScreen:
pack_menu_up,Arriba
pack_menu_down,Abajo
pack_menu_toggle_on,Activar
pack_menu_toggle_off,Desactivar
---
Pausescreen:
pause_menu_title,Menu de juego
pause_menu_back_to_game,Volver al juego
pause_menu_disconnect,Desconectar
pause_menu_quit_to_menu,Salir la menu
pause_menu_autosave_fail,No se ha podido crear el autoguardado.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Mochila
game_menu_trainer_card,<playername>
game_menu_save,Guardar
game_menu_options,Opciones
game_menu_exit,Salir
---
InventoryScreen:
inventory_menu_bag,Mochila
inventory_menu_backadvice,PULSAR E PARA VOLVER
inventory_menu_items,Objetos
inventory_menu_description,Descripcion
---
NewGameScreen:
new_game_oak_1,Hola!~Perdona que te hiciese~esperar!*Bievenido al mundo~de los Pokemon!*Mi nombre es Oak.~La gente me llama~Prof. Pokémon*Este mundo esta habitado~por unas criaturas~llamadas
new_game_oak_2,Pokémon.*La gente y los Pokemon viven~juntos y se ayudan~entre si.~Alguna gente juega con los~Pokémon,~algunos pelean con ellos.*Pero nosotros no lo sabemos~todo sobre~los Pokémon.~Hay todavía muchos~misterios por resolver.*Por ello yo estudio~a los Pokémon cada dia.*Ahora, dime~tu nombre es?
new_game_oak_3,~estas preparado?*Tu propia~historia Pokémon esta~apunto de empezar.*Te enfrentaras a cosas divertidas~y dificiles~retos.~Un mundo con sueños y~aventuras con los Pokémon~te espera!*Vamos!*Te volvere a ver mas adelante!
new_game_oak_weird_name_1,Bien! Asique tu nombre es~
new_game_oak_weird_name_2,!*mmm es un nombre extraño.
new_game_oak_known_name_1, Correcto! Asique tu nombre es~
new_game_oak_known_name_2,!*mmm Estoy seguro de que he oído ese nombre antes.
new_game_oak_same_name_1,Hey tenemos el mismo nombre.*My nombre tan bien es~
new_game_oak_same_name_2,!
new_game_oak_name_1, Bien! Asique tu nombre es ~
new_game_oak_name_2,!
new_game_your_name,Tu nombre
new_game_choose_skin,Escoger Skin
new_game_name_too_short,Este nombre es muy corto
---
MapScreen:
map_screen_cities,Ciudades
map_screen_routes,Rutas
map_screen_places,Lugares
---
PokedexScreen:
pokedex_screen_seen,Visto en
pokedex_screen_obtained,Obtenido
pokedex_screen_rare,Rareza
pokedex_screen_backadvice,PULSAR E PARA VOLVER
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Escoger un pokemon
pokemon_screen_backadvice,PULSAR E PARA VOLVER
pokemon_screen_item_give,Dar
pokemon_screen_item_take,Coger
pokemon_screen_item_back,Atras
pokemon_screen_doesnt_hold_item,~no eres el dueño del articulo.
pokemon_screen_take_item_1,Tomo 
pokemon_screen_take_item_2, de~
pokemon_screen_take_item_3,~y lo puso en el~
pokemon_screen_take_item_4, bolsillo!
pokemon_screen_give_item_1,Dio 
pokemon_screen_give_item_2, a~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~y lo puso 
pokemon_screen_give_item_5,~de vuelta en el inventorio.
pokemon_screen_summary,Resumen
pokemon_screen_switch,Cambiar
pokemon_screen_item,Objeto
pokemon_screen_back,Atras
pokemon_screen_EMPTY,VACIO
---
Pokemon Status Screen:
Todas las paginas:
poke_status_screen_nature,Naturaleza
poke_status_screen_backadvice,PULSAR E PARA VOLVER
poke_status_screen_closeadvice,PULSAR E PARA CERRAR
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Exp Total
poke_status_screen_nxt_lv,Sig. Nvl.
poke_status_screen_stats_page,Pagina estado
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Objeto
poke_status_screen_no_item,sin objetos
poke_status_screen_ability,Abilidad
poke_status_screen_details_page,Pagina detalles
Page 3:
poke_status_screen_power,Fuerza
poke_status_screen_accuracy,Precision
poke_status_screen_moves_page,Pagina movimientos
---
Trainer Card Screen:
trainer_screen_trainer_card,Tarjeta entrenador
trainer_screen_name,Nombre
trainer_screen_points,Puntos
trainer_screen_money,Dinero
trainer_screen_pokedex,Pokédex
trainer_screen_time,Tiempo
trainer_screen_collected_badges,Mochilas conseguidas
trainer_screen_badge,mochila
trainer_screen_backadvice,PULSAR E PARA VOLVER
